No.	Product ID	Product Name	Stock Status	Current MRP	Current Cyclify Price	Current Saving	Check / Issue	Corrected MRP	Corrected Cyclify Price	Correction Notes	Product URL	Source
1	1	SAVA Hawkeye SLR7 105 Di2	In Stock	210000	189900	20100	OK				https://cyclify.in/products/sava-hawkeye-slr7-105-di2-1.html	sava-bikes.html
2	2	ELVES Falath EVO+	In Stock	250000	250000	0	Price equals MRP				https://cyclify.in/products/elves-falath-evo-2.html	sava-bikes.html
3	3	ELVES Falath EXP	In Stock	250000	250000	0	Price equals MRP				https://cyclify.in/products/elves-falath-exp-3.html	sava-bikes.html
4	4	ELVES Amanyar	In Stock	400000	400000	0	Price equals MRP				https://cyclify.in/products/elves-amanyar-4.html	sava-bikes.html
5	5	Cyclami Electric Air Pump	In Stock	5500	5250	250	OK				https://cyclify.in/products/cyclami-electric-air-pump-5.html	fcc
6	6	Cyclami C1 Cadence speed Dual Sensor Bike Computer ANT+BLE 5.0 Waterproof GPS C	In Stock	2800	2100	700	OK				https://cyclify.in/products/cyclami-c1-cadence-speed-dual-sensor-6.html	fcc
7	7	Cyclami Tubeless Bicycle Presta Valves	In Stock	1999	999	1000	OK				https://cyclify.in/products/cyclami-tubeless-bicycle-presta-valves-7.html	fcc
8	8	Cyclami 500 Lumen front Light	In Stock	2000	1900	100	OK				https://cyclify.in/products/cyclami-500-lumen-front-light-8.html	fcc
9	9	Cyclami BR-1200 Bicycle Front Light 1200 Lumens	In Stock	4000	3500	500	OK				https://cyclify.in/products/cyclami-br-1200-bicycle-front-light-9.html	fcc
10	10	Cyclami CYC1700 1700 Lumens Rechargeable Waterproof Bicycle Light LED Front Light	In Stock	7000	6300	700	OK				https://cyclify.in/products/cyclami-cyc1700-waterproof-bicycle-light-10.html	fcc
11	11	Cyclami AI1200 Bicycle Headlight	In Stock	3500	2499	1001	OK				https://cyclify.in/products/cyclami-ai1200-bicycle-headlight-11.html	smart-trainers.html
12	12	Carbon Fiber Bicycle Computer Holder Cyclami	In Stock	2500	1500	1000	OK				https://cyclify.in/products/cyclami-carbon-fiber-bicycle-computer-holder-12.html	fcc
13	13	Cyclami BR2000 Rainproof Bicycle Light 2000Lm	In Stock	4500	4300	200	OK				https://cyclify.in/products/cyclami-2000lm-br2000-rainproof-bicycle-light-13.html	fcc
14	14	Bicycle Computer Mount Holder Cyclami S2	In Stock	1500	949	551	OK				https://cyclify.in/products/cyclami-s2-bicycle-computer-mount-holder-14.html	fcc
15	15	Cyclami Bottle Cage Anti Theft GPS Tracker Holder	In Stock	3000	1999	1001	OK				https://cyclify.in/products/cyclami-bottle-cage-anti-theft-gps-tracker-holder-15.html	smart-trainers.html
16	16	S16 Out Front Mount for Bicycle Computer Handlebar Extension Holder	In Stock	3000	2500	500	OK				https://cyclify.in/products/s16-out-front-mount-for-bicycle-computer-16.html	fcc
17	17	Cyclami M6W 3 in 1 Bicycle Mount for GPS Computer, Light & Action Camera	In Stock	1500	1400	100	OK				https://cyclify.in/products/cyclami-m6w-3-in-1-bicycle-mount-17.html	fcc
18	18	Cyclami A3 Max Mini Electric Bike Pump 150 PSI	In Stock	9000	8500	500	OK				https://cyclify.in/products/cyclami-a3-max-mini-electric-bike-pump-18.html	fcc
19	19	Bicycle Computer Holder Mount All in one Bike handelbar Mount	In Stock	1999	1800	199	OK				https://cyclify.in/products/cyclami-all-in-one-bicycle-computer-holder-mount-19.html	fcc
20	20	Cyclami CY200 Smart Brake Sensor Tail Light	In Stock	2000	1900	100	OK				https://cyclify.in/products/cyclami-cy200-smart-brake-sensor-tail-light-20.html	fcc
21	21	Cyclami Q2 SUP Electric Pump with 12000mAh Battery	In Stock	10000	9500	500	OK				https://cyclify.in/products/cyclami-q2-sup-electric-pump-21.html	fcc
22	22	Cyclami BR1000 Super Bright LED Bicycle Headlight	In Stock	2800	2600	200	OK				https://cyclify.in/products/cyclami-br1000-super-bright-led-bicycle-headlight-22.html	fcc
23	23	Cyclami Cyc 1200 Lumen High Brightness Bicycle Light	In Stock	4500	4200	300	OK				https://cyclify.in/products/cyclami-1200-lumen-high-brightness-bicycle-light-23.html	fcc
24	24	Cyclami Ceramic Bearing Jockey Wheel Pulley	In Stock	3500	2000	1500	OK				https://cyclify.in/products/cyclami-ceramic-bearing-jockey-wheel-pulley-24.html	smart-trainers.html
25	25	Cyclami Portable Bicycle Tyre Opener Tool	In Stock	499	299	200	OK				https://cyclify.in/products/cyclami-portable-bicycle-tyre-opener-tool-25.html	smart-trainers.html
26	27	Cyclami CY180 Smart Bicycle Taillight	In Stock	5999	2999	3000	OK				https://cyclify.in/products/cyclami-cy180-smart-bicycle-taillight-27.html	smart-trainers.html
27	28	Cyclami Ai 1200 Lumen Bicycle Front Light	In Stock	3200	3000	200	OK				https://cyclify.in/products/cyclami-1800-lumen-usb-rechargeable-front-light-28.html	fcc
28	29	Cyclami Carbon Fiber Derailleur Jockey Wheel Pulley Set	In Stock	3500	3300	200	OK				https://cyclify.in/products/cyclami-carbon-fiber-derailleur-jockey-wheel-pulley-set-29.html	fcc
29	30	Cyclami Ultra-Light 30g TPU Bicycle Tube 700x18-32C	In Stock	1500	999	501	OK				https://cyclify.in/products/cyclami-ultra-light-tpu-bicycle-tube-30.html	fcc
30	31	Cyclami Multi-Functional Bicycle Tyre Lever	In Stock	999	299	700	OK				https://cyclify.in/products/cyclami-multi-functional-bicycle-tyre-lever-31.html	wheels-tyres.html
31	33	Cyclami 2200 Lumen LED Bicycle Light high brightness Multi Function	In Stock	5000	4750	250	OK				https://cyclify.in/products/cyclami-2200-lumen-led-bicycle-light-33.html	fcc
32	34	Cyclami MTB TPU Inner Tube Anti-Oxidation Lightweight Bicycle Tube 65g	In Stock	1200	1100	100	OK				https://cyclify.in/products/cyclami-mtb-tpu-inner-tube-65g-34.html	fcc
33	35	Cyclami A2 Max 150PSI Mini Electric Bike Tire Pump (Black)	In Stock	9000	8500	500	OK				https://cyclify.in/products/cyclami-a2-max-150psi-mini-electric-bike-tire-pump-35.html	fcc
34	36	ThinkRider X2 Max Smart Trainer	In Stock	40000	35000	5000	OK				https://cyclify.in/products/thinkrider-x2-max-smart-trainer-36.html	smart-trainers.html
35	37	OROME VALAR TH50D Disc Brake Wheelset	In Stock	97000	87000	10000	OK				https://cyclify.in/products/orome-valar-th50d-disc-brake-wheelset-37.html	cycletime
36	38	ThinkRider XX PRO Foldable Smart Trainer	In Stock	51999	51999	0	Price equals MRP				https://cyclify.in/products/thinkrider-xx-pro-foldable-smart-trainer-38.html	smart-trainers.html
37	39	ThinkRider VS 200 Virtual Shifting Controller	In Stock	5999	5999	0	Price equals MRP				https://cyclify.in/products/thinkrider-vs-200-virtual-shifting-controller-39.html	smart-trainers.html
38	40	ThinkRider Speed Cadence Sensor	In Stock	2200	2200	0	Price equals MRP				https://cyclify.in/products/thinkrider-speed-cadence-sensor-40.html	smart-trainers.html
